Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,1132327-annotations
IFAD,,1986,633756000,
IFAD,,1987,697654700,
IFAD,,1988,180311680,
IFAD,,1989,206066000,
IFAD,,1990,393417340,
IFAD,,1991,180713600,
IFAD,,1992,113866424,
IFAD,,1993,122867384,
IFAD,,1994,102392810,
IFAD,,1995,109137490,
IFAD,,1996,207283940,
IFAD,,1997,157322460,
IFAD,,1998,198358400,
IFAD,,1999,189446100,
IFAD,,2000,215308030,
IFAD,,2001,264656430,
IFAD,,2002,228968770,
IFAD,,2003,213302900,
IFAD,,2004,209047140,
IFAD,,2005,245406940,
IFAD,,2006,270738660,
IFAD,,2007,358711780,
IFAD,,2008,369431230,
IFAD,,2009,253410670,
IFAD,,2010,309919970,
IFAD,,2011,393687070,
IFAD,,2012,473220860,
IFAD,,2013,450938700,
IFAD,,2014,333539840,
IFAD,,2015,365140300,
IFAD,,2016,495956030,
IFAD,,2017,522026020,
IFAD,,2018,448409400,
IFAD,,2019,574077800,
IFAD,,2020,446510600,
IFAD,,2021,384130660,
IFAD,,2022,520986200,
IFAD,,2023,505923700,
IFAD,,2024,395323680,
IKEA Foundation,,2015,9800581,
IKEA Foundation,,2016,49516376,
IKEA Foundation,,2017,107809220,
IKEA Foundation,,2018,134525260,
IKEA Foundation,,2019,220746260,
IKEA Foundation,,2020,180075360,
IKEA Foundation,,2021,288408320,
IKEA Foundation,,2022,287439140,
IKEA Foundation,,2023,248538140,
IKEA Foundation,,2024,312223360,
IMF (Concessional Trust Funds),,1986,-1186529000,
IMF (Concessional Trust Funds),,1987,-362547070,
IMF (Concessional Trust Funds),,1988,-219833020,
IMF (Concessional Trust Funds),,1989,1264853400,
IMF (Concessional Trust Funds),,1990,515751460,
IMF (Concessional Trust Funds),,1991,1496523000,
IMF (Concessional Trust Funds),,1992,1073470200,
IMF (Concessional Trust Funds),,1993,282753860,
IMF (Concessional Trust Funds),,1994,1404327800,
IMF (Concessional Trust Funds),,1995,2041690400,
IMF (Concessional Trust Funds),,1996,448818000,
IMF (Concessional Trust Funds),,1997,255004260,
IMF (Concessional Trust Funds),,1998,575948900,
IMF (Concessional Trust Funds),,1999,357173800,
IMF (Concessional Trust Funds),,2000,-45787856,
IMF (Concessional Trust Funds),,2001,688425400,
IMF (Concessional Trust Funds),,2002,1390468200,
IMF (Concessional Trust Funds),,2003,524069470,
IMF (Concessional Trust Funds),,2004,84665740,
IMF (Concessional Trust Funds),,2005,-325109220,
IMF (Concessional Trust Funds),,2006,463549150,
IMF (Concessional Trust Funds),,2007,-79909260,
IMF (Concessional Trust Funds),,2008,326821340,
IMF (Concessional Trust Funds),,2009,2013286700,
IMF (Concessional Trust Funds),,2010,1342797300,
IMF (Concessional Trust Funds),,2011,795770600,
IMF (Concessional Trust Funds),,2012,811545200,
IMF (Concessional Trust Funds),,2013,645697600,
IMF (Concessional Trust Funds),,2014,187240960,
IMF (Concessional Trust Funds),,2015,579623230,
IMF (Concessional Trust Funds),,2016,-150549440,
IMF (Concessional Trust Funds),,2017,62632284,
IMF (Concessional Trust Funds),,2018,-148833650,
IMF (Concessional Trust Funds),,2019,274011230,
IMF (Concessional Trust Funds),,2020,9383099000,
IMF (Concessional Trust Funds),,2021,3834267000,
IMF (Concessional Trust Funds),,2022,1710403300,
IMF (Concessional Trust Funds),,2023,3180150300,
IMF (Concessional Trust Funds),,2024,5080740400,
Iceland,ISL,1990,3540136,
Iceland,ISL,1991,14072479,
Iceland,ISL,1992,8157011,
Iceland,ISL,1993,12805764,
Iceland,ISL,1994,11564779,
Iceland,ISL,1997,14091816,
Iceland,ISL,1998,12339849,
Iceland,ISL,1999,12845727,
Iceland,ISL,2000,15289188,
Iceland,ISL,2001,19689874,
Iceland,ISL,2002,22672578,
Iceland,ISL,2003,26374136,
Iceland,ISL,2004,28303458,
Iceland,ISL,2005,31541212,
Iceland,ISL,2006,49146708,
Iceland,ISL,2007,50204144,
Iceland,ISL,2008,63755736,
Iceland,ISL,2009,55489508,
Iceland,ISL,2010,43181492,
Iceland,ISL,2011,35367188,
Iceland,ISL,2012,37652640,
Iceland,ISL,2013,48109436,
Iceland,ISL,2014,47188056,
Iceland,ISL,2015,53701696,
Iceland,ISL,2016,70861630,
Iceland,ISL,2017,72169750,
Iceland,ISL,2018,77472136,
Iceland,ISL,2019,69529750,
Iceland,ISL,2020,69563480,
Iceland,ISL,2021,75028400,
Iceland,ISL,2022,97822024,
Iceland,ISL,2023,110760000,
Iceland,ISL,2024,105313860,
Inter-American Development Bank,,2012,1490456400,
Inter-American Development Bank,,2013,2008731300,
Inter-American Development Bank,,2014,1789849100,
Inter-American Development Bank,,2015,2195256800,
Inter-American Development Bank,,2016,1678464100,
Inter-American Development Bank,,2017,1234512800,
Inter-American Development Bank,,2018,955438100,
Inter-American Development Bank,,2019,590337700,
Inter-American Development Bank,,2020,630838850,
Inter-American Development Bank,,2021,719913000,
Inter-American Development Bank,,2022,1361254100,
Inter-American Development Bank,,2023,590896300,
Inter-American Development Bank,,2024,304059650,
International Atomic Energy Agency,,2006,87965240,
International Atomic Energy Agency,,2007,80766950,
International Atomic Energy Agency,,2008,80569330,
International Atomic Energy Agency,,2009,71559950,
International Atomic Energy Agency,,2010,95922680,
International Atomic Energy Agency,,2011,72354024,
International Atomic Energy Agency,,2012,72705820,
International Atomic Energy Agency,,2013,82191350,
International Atomic Energy Agency,,2014,77100450,
International Atomic Energy Agency,,2015,73355290,
International Atomic Energy Agency,,2016,83262700,
International Atomic Energy Agency,,2017,87066020,
International Atomic Energy Agency,,2018,98039940,
International Atomic Energy Agency,,2019,91967800,
International Atomic Energy Agency,,2020,72151176,
International Atomic Energy Agency,,2021,73689660,
International Atomic Energy Agency,,2022,98677850,
International Atomic Energy Agency,,2023,116452210,
International Atomic Energy Agency,,2024,107413670,
International Bank for Reconstruction and Development,,1976,61954760,
International Bank for Reconstruction and Development,,1977,138579870,
International Bank for Reconstruction and Development,,1978,238782560,
International Bank for Reconstruction and Development,,1979,293603330,
International Bank for Reconstruction and Development,,1980,270293540,
International Bank for Reconstruction and Development,,1981,229346080,
International Bank for Reconstruction and Development,,1982,154235820,
International Bank for Reconstruction and Development,,1983,125786776,
International Bank for Reconstruction and Development,,1984,110463130,
International Bank for Reconstruction and Development,,1985,90977336,
International Bank for Reconstruction and Development,,1986,8536180,
International Bank for Reconstruction and Development,,1987,839009,
International Centre for Genetic Engineering and Biotechnology,,2021,4030755,
International Centre for Genetic Engineering and Biotechnology,,2022,4227953,
International Centre for Genetic Engineering and Biotechnology,,2023,3985207,
International Centre for Genetic Engineering and Biotechnology,,2024,4818082,
International Commission on Missing Persons,,2021,880836,
International Commission on Missing Persons,,2022,549872,
International Commission on Missing Persons,,2023,542200,
International Commission on Missing Persons,,2024,526805,
International Development Association,,1960,-240355020,
International Development Association,,1961,-349699260,
International Development Association,,1962,-266635380,
International Development Association,,1963,305909730,
International Development Association,,1964,776646300,
International Development Association,,1965,2081566500,
International Development Association,,1966,2036855700,
International Development Association,,1967,2700777500,
International Development Association,,1968,931653100,
International Development Association,,1969,1717884500,
International Development Association,,1970,1114339800,
International Development Association,,1971,1844204500,
International Development Association,,1972,1724460400,
International Development Association,,1973,3112191500,
International Development Association,,1974,4113869000,
International Development Association,,1975,4373215000,
International Development Association,,1976,5106046500,
International Development Association,,1977,4061241000,
International Development Association,,1978,3158072800,
International Development Association,,1979,3507672800,
International Development Association,,1980,3903796000,
International Development Association,,1981,4978918400,
International Development Association,,1982,6286772000,
International Development Association,,1983,6188857300,
International Development Association,,1984,6720986600,
International Development Association,,1985,7001483000,
International Development Association,,1986,7356706000,
International Development Association,,1987,6731422700,
International Development Association,,1988,6327317000,
International Development Association,,1989,5747814000,
International Development Association,,1990,6277988000,
International Development Association,,1991,6656654300,
International Development Association,,1992,7056147500,
International Development Association,,1993,6698970000,
International Development Association,,1994,8001275000,
International Development Association,,1995,6269400600,
International Development Association,,1996,7790538000,
International Development Association,,1997,7589403600,
International Development Association,,1998,7083127000,
International Development Association,,1999,6524090400,
International Development Association,,2000,5876879400,
International Development Association,,2001,7872358000,
International Development Association,,2002,9505157000,
International Development Association,,2003,7558426600,
International Development Association,,2004,9595815000,
International Development Association,,2005,8408566300,
International Development Association,,2006,7527171000,
International Development Association,,2007,9316659000,
International Development Association,,2008,6711488500,
International Development Association,,2009,10199555000,
International Development Association,,2011,7262974500,
International Development Association,,2012,7301221000,
International Development Association,,2013,8506603500,
International Development Association,,2014,10681953000,
International Development Association,,2015,11582767000,
International Development Association,,2016,9432559000,
International Development Association,,2017,10842584000,
International Development Association,,2018,11917293000,
International Development Association,,2019,14092230000,
International Development Association,,2020,16726742000,
International Development Association,,2021,13799344000,
International Development Association,,2022,17104168000,
International Development Association,,2023,17987367000,
International Development Association,,2024,18080442000,
International Labour Organization (ILO),,2012,251125260,
International Labour Organization (ILO),,2013,310574000,
International Labour Organization (ILO),,2014,231975580,
International Labour Organization (ILO),,2015,329149900,
International Labour Organization (ILO),,2016,278877500,
International Labour Organization (ILO),,2017,307321920,
International Labour Organization (ILO),,2018,247783000,
International Labour Organization (ILO),,2019,312225300,
International Labour Organization (ILO),,2020,233809180,
International Labour Organization (ILO),,2021,259553310,
International Labour Organization (ILO),,2022,253576740,
International Labour Organization (ILO),,2023,189107540,
International Labour Organization (ILO),,2024,163265630,
International Monetary Fund,,1977,629872640,
International Monetary Fund,,1978,2713575200,
International Monetary Fund,,1979,1867980400,
International Monetary Fund,,1980,4139271400,
International Monetary Fund,,1981,1125701400,
International Monetary Fund,,1982,237525300,
International Monetary Fund,,1983,-128171600,
International Monetary Fund,,1984,-356098600,
International Monetary Fund,,1985,-802173800,
International Monetary Fund,,1986,-1186529000,
International Monetary Fund,,1987,-362547070,
International Monetary Fund,,1988,-219833020,
International Monetary Fund,,1989,1264853400,
International Monetary Fund,,1990,515751460,
International Monetary Fund,,1991,1496523000,
International Monetary Fund,,1992,1073470200,
International Monetary Fund,,1993,282753860,
International Monetary Fund,,1994,1404327800,
International Monetary Fund,,1995,2041690400,
International Monetary Fund,,1996,448818000,
International Monetary Fund,,1997,255004260,
International Monetary Fund,,1998,575948900,
International Monetary Fund,,1999,357173800,
International Monetary Fund,,2000,-45787856,
International Monetary Fund,,2001,688425400,
International Monetary Fund,,2002,1390468200,
International Monetary Fund,,2003,524069470,
International Monetary Fund,,2004,84665740,
International Monetary Fund,,2005,-325109220,
International Monetary Fund,,2006,463549150,
International Monetary Fund,,2007,-79909260,
International Monetary Fund,,2008,326821340,
International Monetary Fund,,2009,2013286700,
International Monetary Fund,,2010,1342797300,
International Monetary Fund,,2011,795770600,
International Monetary Fund,,2012,811545200,
International Monetary Fund,,2013,645697600,
International Monetary Fund,,2014,187240960,
International Monetary Fund,,2015,579623230,
International Monetary Fund,,2016,-150549440,
International Monetary Fund,,2017,62632284,
International Monetary Fund,,2018,-148833650,
International Monetary Fund,,2019,274011230,
International Monetary Fund,,2020,9383099000,
International Monetary Fund,,2021,3834267000,
International Monetary Fund,,2022,1710403300,
International Monetary Fund,,2023,3180150300,
International Monetary Fund,,2024,5080740400,
Ireland,IRL,1974,39270430,
Ireland,IRL,1975,43459780,
Ireland,IRL,1976,49022220,
Ireland,IRL,1977,45099520,
Ireland,IRL,1978,110851770,
Ireland,IRL,1979,105671720,
Ireland,IRL,1980,94074190,
Ireland,IRL,1981,95029176,
Ireland,IRL,1982,155107820,
Ireland,IRL,1983,112811020,
Ireland,IRL,1984,128400130,
Ireland,IRL,1985,141911200,
Ireland,IRL,1986,167218140,
Ireland,IRL,1987,121245256,
Ireland,IRL,1988,126414350,
Ireland,IRL,1989,110755256,
Ireland,IRL,1990,112444180,
Ireland,IRL,1991,143571890,
Ireland,IRL,1992,128310410,
Ireland,IRL,1993,163503140,
Ireland,IRL,1994,211470880,
Ireland,IRL,1995,269501300,
Ireland,IRL,1996,307217570,
Ireland,IRL,1997,326171940,
Ireland,IRL,1998,345089760,
Ireland,IRL,1999,428499700,
Ireland,IRL,2000,437539500,
Ireland,IRL,2001,517963070,
Ireland,IRL,2002,647891900,
Ireland,IRL,2003,668089100,
Ireland,IRL,2004,724332700,
Ireland,IRL,2005,835729340,
Ireland,IRL,2006,1136876300,
Ireland,IRL,2007,1201790300,
Ireland,IRL,2008,1280401800,
Ireland,IRL,2009,1042129300,
Ireland,IRL,2010,996609540,
Ireland,IRL,2011,951877900,
Ireland,IRL,2012,885917630,
Ireland,IRL,2013,895999550,
Ireland,IRL,2014,860771400,
Ireland,IRL,2015,814145100,
Ireland,IRL,2016,917676160,
Ireland,IRL,2017,933205760,
Ireland,IRL,2018,983250750,
Ireland,IRL,2019,1049895740,
Ireland,IRL,2020,1053345340,
Ireland,IRL,2021,1173347800,
Ireland,IRL,2022,2576606200,
Ireland,IRL,2023,2816590000,
Ireland,IRL,2024,2493220000,
Islamic Development Bank,,1977,4486528,
Islamic Development Bank,,1978,32440044,
Islamic Development Bank,,1979,42253176,
Islamic Development Bank,,1980,60045550,
Islamic Development Bank,,1981,62879356,
Islamic Development Bank,,1982,53522332,
Islamic Development Bank,,1983,83098240,
Islamic Development Bank,,1984,75934980,
Islamic Development Bank,,1985,99840680,
Islamic Development Bank,,1986,73530560,
Islamic Development Bank,,1987,56003824,
Islamic Development Bank,,1988,49029164,
Islamic Development Bank,,1989,64376924,
Islamic Development Bank,,1990,73612296,
Islamic Development Bank,,1991,35723892,
Islamic Development Bank,,1992,74267064,
Islamic Development Bank,,1993,40706004,
Islamic Development Bank,,1994,50468904,
Islamic Development Bank,,1995,1094174,
Islamic Development Bank,,1999,8753903,
Islamic Development Bank,,2000,6019975,
Islamic Development Bank,,2001,103329144,
Islamic Development Bank,,2002,84650744,
Islamic Development Bank,,2003,-17469896,
Islamic Development Bank,,2004,181591740,
Islamic Development Bank,,2005,177551300,
Islamic Development Bank,,2006,274519000,
Islamic Development Bank,,2007,167348320,
Islamic Development Bank,,2008,166023230,
Islamic Development Bank,,2009,487384220,
Islamic Development Bank,,2010,305476480,
Islamic Development Bank,,2011,249710510,
Islamic Development Bank,,2012,109729336,
Islamic Development Bank,,2013,83371730,
Islamic Development Bank,,2014,72772980,
Islamic Development Bank,,2015,56484876,
Islamic Development Bank,,2016,195547090,
Islamic Development Bank,,2017,145398780,
Islamic Development Bank,,2018,-27637064,
Islamic Development Bank,,2019,159443490,
Islamic Development Bank,,2020,165684340,
Islamic Development Bank,,2021,101620880,
Islamic Development Bank,,2022,26844662,
Islamic Development Bank,,2023,101283530,
Islamic Development Bank,,2024,-553386700,
Israel,ISR,1997,144973490,
Israel,ISR,1998,145812180,
Israel,ISR,1999,195199150,
Israel,ISR,2000,273433340,
Israel,ISR,2001,155717380,
Israel,ISR,2002,237111740,
Israel,ISR,2003,195086260,
Israel,ISR,2004,144029230,
Israel,ISR,2005,162667330,
Israel,ISR,2006,149962510,
Israel,ISR,2007,169126430,
Israel,ISR,2008,180627310,
Israel,ISR,2009,170303120,
Israel,ISR,2010,186886740,
Israel,ISR,2011,251658910,
Israel,ISR,2012,230304030,
Israel,ISR,2013,236252350,
Israel,ISR,2014,230421340,
Israel,ISR,2015,284549800,
Israel,ISR,2016,422023680,
Israel,ISR,2017,461080420,
Israel,ISR,2018,410258460,
Israel,ISR,2019,306977060,
Israel,ISR,2020,303924700,
Israel,ISR,2021,392157280,
Israel,ISR,2022,469437630,
Israel,ISR,2023,464449180,
Israel,ISR,2024,300215940,
Italy,ITA,1960,1017981900,
Italy,ITA,1961,770870900,
Italy,ITA,1962,978856700,
Italy,ITA,1963,793125760,
Italy,ITA,1964,506643870,
Italy,ITA,1965,613304300,
Italy,ITA,1966,783284500,
Italy,ITA,1967,1502501100,
Italy,ITA,1968,1393180800,
Italy,ITA,1969,1195459200,
Italy,ITA,1970,1270573800,
Italy,ITA,1971,1453876600,
Italy,ITA,1972,721264450,
Italy,ITA,1973,1200402800,
Italy,ITA,1974,1257667000,
Italy,ITA,1975,913665400,
Italy,ITA,1976,1226774100,
Italy,ITA,1977,959430200,
Italy,ITA,1978,1544967200,
Italy,ITA,1979,945928770,
Italy,ITA,1980,2010866700,
Italy,ITA,1981,2190889500,
Italy,ITA,1982,2702452000,
Italy,ITA,1983,2711071500,
Italy,ITA,1984,3846685700,
Italy,ITA,1985,3711918000,
Italy,ITA,1986,5902974500,
Italy,ITA,1987,5270754300,
Italy,ITA,1988,6055298600,
Italy,ITA,1989,6799850500,
Italy,ITA,1990,5149529600,
Italy,ITA,1991,4886148600,
Italy,ITA,1992,5725144000,
Italy,ITA,1993,5190913000,
Italy,ITA,1994,4571601400,
Italy,ITA,1995,2640461000,
Italy,ITA,1996,3561237800,
Italy,ITA,1997,2008195700,
Italy,ITA,1998,3600846300,
Italy,ITA,1999,2943403300,
Italy,ITA,2000,2548833300,
Italy,ITA,2001,3008536800,
Italy,ITA,2002,3966938400,
Italy,ITA,2003,3345888000,
Italy,ITA,2004,2999583200,
Italy,ITA,2005,6074936000,
Italy,ITA,2006,4209193500,
Italy,ITA,2007,4107410700,
Italy,ITA,2008,4659995600,
Italy,ITA,2009,3217397800,
Italy,ITA,2010,3055531300,
Italy,ITA,2011,4130823200,
Italy,ITA,2012,2780022300,
Italy,ITA,2013,3335228400,
Italy,ITA,2014,3866006000,
Italy,ITA,2015,4581557000,
Italy,ITA,2016,5768159000,
Italy,ITA,2017,6469861400,
Italy,ITA,2018,5321219600,
Italy,ITA,2019,4680626000,
Italy,ITA,2020,4629403600,
Italy,ITA,2021,6284102700,
Italy,ITA,2022,7296183000,
Italy,ITA,2023,6016120300,
Italy,ITA,2024,6736157700,
Jacobs Foundation,,2016,12262304,
Jacobs Foundation,,2017,23574562,
Jacobs Foundation,,2018,18274582,
Jacobs Foundation,,2019,20081888,
Jacobs Foundation,,2020,19776452,
Jacobs Foundation,,2021,40546496,
Jacobs Foundation,,2022,24578424,
Jacobs Foundation,,2023,44457468,
Jacobs Foundation,,2024,3529902,
Japan,JPN,1960,1121588200,
Japan,JPN,1961,1068934100,
Japan,JPN,1962,808767700,
Japan,JPN,1963,1242515300,
Japan,JPN,1964,989718400,
Japan,JPN,1965,1975622000,
Japan,JPN,1966,2200434700,
Japan,JPN,1967,2816148200,
Japan,JPN,1968,2450582300,
Japan,JPN,1969,2837113300,
Japan,JPN,1970,2789341700,
Japan,JPN,1971,2874541600,
Japan,JPN,1972,2875201800,
Japan,JPN,1973,3720313300,
Japan,JPN,1974,3686934500,
Japan,JPN,1975,3565830700,
Japan,JPN,1976,3175125200,
Japan,JPN,1977,3472404000,
Japan,JPN,1978,4045611800,
Japan,JPN,1979,4971566600,
Japan,JPN,1980,6089736700,
Japan,JPN,1981,5430395000,
Japan,JPN,1982,5756928000,
Japan,JPN,1983,6766200000,
Japan,JPN,1984,7639691000,
Japan,JPN,1985,6677505500,
Japan,JPN,1986,6875890700,
Japan,JPN,1987,7696625700,
Japan,JPN,1988,8454668000,
Japan,JPN,1989,8745057000,
Japan,JPN,1990,9076737000,
Japan,JPN,1991,9923523000,
Japan,JPN,1992,9368893000,
Japan,JPN,1993,8266198000,
Japan,JPN,1994,8922640000,
Japan,JPN,1995,9038953000,
Japan,JPN,1996,6838978600,
Japan,JPN,1997,7502493700,
Japan,JPN,1998,9230781000,
Japan,JPN,1999,9296647000,
Japan,JPN,2000,9904385000,
Japan,JPN,2001,8226755000,
Japan,JPN,2002,8104579000,
Japan,JPN,2003,7293875700,
Japan,JPN,2004,6913554000,
Japan,JPN,2005,10483655000,
Japan,JPN,2006,9485054000,
Japan,JPN,2007,6682148000,
Japan,JPN,2008,7390298600,
Japan,JPN,2009,6613616600,
Japan,JPN,2010,7397937700,
Japan,JPN,2011,6847377400,
Japan,JPN,2012,6608620000,
Japan,JPN,2013,8770486000,
Japan,JPN,2014,7735030300,
Japan,JPN,2015,8403393500,
Japan,JPN,2016,8517317600,
Japan,JPN,2017,9670537000,
Japan,JPN,2018,8358972400,
Japan,JPN,2019,9550993000,
Japan,JPN,2020,10797979000,
Japan,JPN,2021,12839557000,
Japan,JPN,2022,16265615000,
Japan,JPN,2023,18661910000,
Japan,JPN,2024,15982930000,
John D. and Catherine T. MacArthur Foundation,,2017,97194904,
John D. and Catherine T. MacArthur Foundation,,2018,100849790,
John D. and Catherine T. MacArthur Foundation,,2019,128019100,
John D. and Catherine T. MacArthur Foundation,,2020,124014190,
John D. and Catherine T. MacArthur Foundation,,2021,134971040,
John D. and Catherine T. MacArthur Foundation,,2022,105595740,
John D. and Catherine T. MacArthur Foundation,,2023,35305172,
John D. and Catherine T. MacArthur Foundation,,2024,63769560,
Joint Sustainable Development Goals Fund,,2021,56498676,
Joint Sustainable Development Goals Fund,,2022,62130360,
Joint Sustainable Development Goals Fund,,2023,18854822,
Joint Sustainable Development Goals Fund,,2024,60916788,
Kazakhstan,KAZ,2013,8837445,
Kazakhstan,KAZ,2014,34735276,
Kazakhstan,KAZ,2015,49487330,
Kazakhstan,KAZ,2016,35878836,
Kazakhstan,KAZ,2017,40154010,
Kazakhstan,KAZ,2018,44138850,
Kazakhstan,KAZ,2019,38049028,
Kazakhstan,KAZ,2020,40053468,
Kazakhstan,KAZ,2021,44315492,
Kazakhstan,KAZ,2022,38635436,
Kazakhstan,KAZ,2023,31685038,
Kazakhstan,KAZ,2024,49278320,
Kuwait,KWT,1970,1010360300,
Kuwait,KWT,1971,657549760,
Kuwait,KWT,1972,887983200,
Kuwait,KWT,1973,1642796700,
Kuwait,KWT,1974,2620689000,
Kuwait,KWT,1975,3458286600,
Kuwait,KWT,1976,2305184800,
Kuwait,KWT,1977,2641093400,
Kuwait,KWT,1978,2481789000,
Kuwait,KWT,1979,2435996200,
Kuwait,KWT,1980,2588613600,
Kuwait,KWT,1981,2762823400,
Kuwait,KWT,1982,2665475800,
Kuwait,KWT,1983,2243731700,
Kuwait,KWT,1984,2432967200,
Kuwait,KWT,1985,1741985500,
Kuwait,KWT,1986,1395776000,
Kuwait,KWT,1987,566121000,
Kuwait,KWT,1988,107849976,
Kuwait,KWT,1989,291825630,
Kuwait,KWT,1990,2057629800,
Kuwait,KWT,1991,507433200,
Kuwait,KWT,1992,278688100,
Kuwait,KWT,1993,570318660,
Kuwait,KWT,1994,876287300,
Kuwait,KWT,1995,488701340,
Kuwait,KWT,1996,563806340,
Kuwait,KWT,1997,538904200,
Kuwait,KWT,1998,408645060,
Kuwait,KWT,1999,212770540,
Kuwait,KWT,2000,247749840,
Kuwait,KWT,2001,117000136,
Kuwait,KWT,2002,31429808,
Kuwait,KWT,2003,189094820,
Kuwait,KWT,2004,204473340,
Kuwait,KWT,2005,269866100,
Kuwait,KWT,2006,188934450,
Kuwait,KWT,2007,122604030,
Kuwait,KWT,2008,301355420,
Kuwait,KWT,2009,243923760,
Kuwait,KWT,2010,253606610,
Kuwait,KWT,2011,180457520,
Kuwait,KWT,2012,189613250,
Kuwait,KWT,2013,240495070,
Kuwait,KWT,2014,288156030,
Kuwait,KWT,2015,350719550,
Kuwait,KWT,2016,1256969600,
Kuwait,KWT,2017,649097540,
Kuwait,KWT,2018,299039330,
Kuwait,KWT,2019,446900860,
Kuwait,KWT,2020,546296450,
Kuwait,KWT,2021,474804450,
Kuwait,KWT,2022,198629810,
Kuwait,KWT,2023,11040961,
Kuwait,KWT,2024,173588110,
LEGO Foundation,,2018,21566732,
LEGO Foundation,,2019,47777224,
LEGO Foundation,,2021,188033500,
LEGO Foundation,,2022,193414600,
LEGO Foundation,,2023,177468800,
LEGO Foundation,,2024,180332830,
La Caixa Banking Foundation,,2017,15623517,
La Caixa Banking Foundation,,2018,32470214,
La Caixa Banking Foundation,,2019,45810076,
La Caixa Banking Foundation,,2020,21442540,
La Caixa Banking Foundation,,2021,21042566,
La Caixa Banking Foundation,,2022,24795000,
La Caixa Banking Foundation,,2023,25197204,
La Caixa Banking Foundation,,2024,23945314,
Latvia,LVA,2002,3768006,
Latvia,LVA,2003,1960810,
Latvia,LVA,2004,16445137,
Latvia,LVA,2005,19741890,
Latvia,LVA,2006,19861108,
Latvia,LVA,2007,20228646,
Latvia,LVA,2008,23412222,
Latvia,LVA,2009,24874618,
Latvia,LVA,2010,19751496,
Latvia,LVA,2011,21984332,
Latvia,LVA,2012,25682238,
Latvia,LVA,2013,27289544,
Latvia,LVA,2014,28692366,
Latvia,LVA,2015,31222104,
Latvia,LVA,2016,40548050,
Latvia,LVA,2017,40960390,
Latvia,LVA,2018,40665800,
Latvia,LVA,2019,41027892,
Latvia,LVA,2020,46531184,
Latvia,LVA,2021,50888644,
Latvia,LVA,2022,157990270,
Latvia,LVA,2023,140930700,
Latvia,LVA,2024,86759540,
Laudes Foundation,,2013,7639967,
Laudes Foundation,,2014,10061663,
Laudes Foundation,,2015,20737576,
Laudes Foundation,,2016,33832340,
Laudes Foundation,,2017,34257824,
Laudes Foundation,,2018,50492280,
Laudes Foundation,,2019,52711372,
Laudes Foundation,,2020,45292724,
Laudes Foundation,,2021,53294844,
Laudes Foundation,,2022,28266056,
Laudes Foundation,,2023,42913812,
Laudes Foundation,,2024,31768910,
Leona M. and Harry B. Helmsley Charitable Trust,,2017,69604440,
Leona M. and Harry B. Helmsley Charitable Trust,,2018,50216252,
Leona M. and Harry B. Helmsley Charitable Trust,,2019,65933810,
Leona M. and Harry B. Helmsley Charitable Trust,,2020,75792936,
Leona M. and Harry B. Helmsley Charitable Trust,,2021,72241070,
Leona M. and Harry B. Helmsley Charitable Trust,,2022,69963300,
Leona M. and Harry B. Helmsley Charitable Trust,,2023,99108700,
Liechtenstein,LIE,2007,20016302,
Liechtenstein,LIE,2008,25210504,
Liechtenstein,LIE,2009,28946090,
Liechtenstein,LIE,2010,29073762,
Liechtenstein,LIE,2011,32411472,
Liechtenstein,LIE,2012,30171020,
Liechtenstein,LIE,2013,29416512,
Liechtenstein,LIE,2014,28448160,
Liechtenstein,LIE,2015,27899976,
Liechtenstein,LIE,2016,28593676,
Liechtenstein,LIE,2017,27513986,
Liechtenstein,LIE,2018,28572656,
Liechtenstein,LIE,2019,28328230,
Liechtenstein,LIE,2020,30253264,
Liechtenstein,LIE,2021,27020648,
Liechtenstein,LIE,2022,32703488,
Liechtenstein,LIE,2023,37525076,
Liechtenstein,LIE,2024,40481064,
Lithuania,LTU,2001,5049648,
Lithuania,LTU,2002,4332082,
Lithuania,LTU,2003,4237204,
Lithuania,LTU,2004,17732422,
Lithuania,LTU,2005,28479420,
Lithuania,LTU,2006,42760516,
Lithuania,LTU,2007,68441304,
Lithuania,LTU,2008,58567412,
Lithuania,LTU,2009,48186324,
Lithuania,LTU,2010,50264996,
Lithuania,LTU,2011,63731100,
Lithuania,LTU,2012,67878090,
Lithuania,LTU,2013,63040296,
Lithuania,LTU,2014,56616400,
Lithuania,LTU,2015,71560310,
Lithuania,LTU,2016,84436920,
Lithuania,LTU,2017,82467864,
Lithuania,LTU,2018,83340424,
Lithuania,LTU,2019,89461450,
Lithuania,LTU,2020,91659510,
Lithuania,LTU,2021,99954150,
Lithuania,LTU,2022,272691070,
Lithuania,LTU,2023,213420000,
Lithuania,LTU,2024,189330800,
Luxembourg,LUX,1980,15703153,
Luxembourg,LUX,1981,18600018,
Luxembourg,LUX,1982,16523493,
Luxembourg,LUX,1983,17307518,
Luxembourg,LUX,1984,34645228,
Luxembourg,LUX,1985,39247596,
Luxembourg,LUX,1986,39381028,
Luxembourg,LUX,1987,41700372,
Luxembourg,LUX,1988,52050510,
Luxembourg,LUX,1989,52455076,
Luxembourg,LUX,1990,60911990,
Luxembourg,LUX,1991,100191420,
Luxembourg,LUX,1992,82155736,
Luxembourg,LUX,1993,109896790,
Luxembourg,LUX,1994,123220290,
Luxembourg,LUX,1995,116874856,
